vendor,price,cat1,cat2,cat3,title
amsterdamdrugs,0.076366,Drugs,Empathogens,Ecstasy,"250 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.077656,Drugs,Empathogens,Ecstasy,"250 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.084106,Drugs,Cannabis,Weed,"100 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.127964,Drugs,Empathogens,Ecstasy,"500 x XTC Yellow Nintendo Pills 190mg"
amsterdamdrugs,0.142154,Drugs,Empathogens,Ecstasy,"500 x XTC MDMA 220mg Domino Pills"
amsterdamdrugs,0.148604,Drugs,Cannabis,Weed,"200 gr. Platinum OG Kush AAA+ Indoor"
amsterdamdrugs,0.213102,Drugs,Empathogens,Ecstasy,"1000 x XTC Yellow Nintendo Pills 190mg"
amsterdaminc,0.002505,Drugs,Empathogens,Ecstasy,"XTC PILLS 140 MG MDMA, 10 x FE "
amsterdaminc,0.002714,Drugs,Empathogens,Ecstasy,"XTC PILLS 220 MG MDMA, 10 x FE  "
amsterdaminc,0.002714,Drugs,Psychedelics,2C-x,"2-CB Pills 20 MG, 10 Pills FE"
amsterdaminc,0.003027,Drugs,Stimulants,Amphetamine,"Speed Paste 65%+, 10 Grams FE "
amsterdaminc,0.003131,Drugs,Cannabis,Hash,"Marrocan Hash, 5 Gram FE "
amsterdaminc,0.003131,Drugs,Empathogens,MDMA,"Champagne MDMA 84%+, 5 Grams FE "
amsterdaminc,0.003131,Drugs,Empathogens,MDMA,"Coca Cola MDMA 84%+, 5 Grams FE "
amsterdaminc,0.003444,Drugs,Psychedelics,LSD,"10 LSD Blotters 150 ug, FE"
amsterdaminc,0.003653,Drugs,Psychedelics,2C-x,"2-CB Pills 20 MG, 25 Pills FE"
amsterdaminc,0.003862,Drugs,Stimulants,Amphetamine,"Speed Paste 65%+, 25 Grams FE "
amsterdaminc,0.004593,Drugs,Empathogens,Ecstasy,"XTC PILLS 220 MG MDMA, 25 x FE  "
amsterdaminc,0.004697,Drugs,Cannabis,Hash,"Marrocan Hash, 10 Gram FE "
amsterdaminc,0.00501,Drugs,Empathogens,MDMA,"Champagne MDMA 84%+, 10 Grams FE "
amsterdaminc,0.00501,Drugs,Empathogens,MDMA,"Coca Cola MDMA 84%+, 10 Grams FE "
amsterdaminc,0.005428,Drugs,Empathogens,Ecstasy,"XTC PILLS 140 MG MDMA, 50 x FE "
amsterdaminc,0.005428,Drugs,Psychedelics,2C-x,"2-CB Pills 20 MG, 50 Pills FE"
amsterdaminc,0.005741,Drugs,Opiates,Heroin,"Afghan Uncut Heroin, 1 Gram FE"
amsterdaminc,0.006263,Drugs,Stimulants,Amphetamine,"Speed Paste 65%+, 50 Grams FE "
amsterdaminc,0.006993,Drugs,Stimulants,Cocaine,"Cocaine 84%+, 1 Grams FE"
