'/smart666tiger',0.00052,'Other products','Digital items','Guides and tutorials','******BEST DAMN CRACK RECIPE EVER **********'
'/ksanori',0.039401,'Drugs','Opiates','Buprenorphine','SUBUTEX 8mg (5kpl)'
'/mrsniffer',0.349567,'Drugs','Empathogens','MDMA','500 gram crystal MDMA 85% pure'
'/pillerikauppa',0.004389,'Drugs','Pharmacy','Sleep','90x 25mg levozin ( Levomepromatsiini ) *Suomi apteekki*'
'/charlierock',0.010991,'Drugs','Stimulants','Metamphetamine','1G ►Crystal Meth ► Pure'
'/cbdqueenuk',0.0,'Drugs','Pharmacy','Benzos','100 x 2mg Pfizer x/2 Xanax (Alprazolam) bars'
'/greenjack',0.007839,'Drugs','Cannabis','Weed','White Russia 10g/Outdoor/AAA/Free Shipping'
'/dope-bank',0.00859,'Drugs','Stimulants','Cocaine','1 gr. Colombian uncut pure Cocaine 88%'
'/dreamdoc',0.130374,'Other products','Services','Money','Super Best Quality counterfeit Notes 100x$50= $5000 Promotion!!'
'/pachoherrera',0.014109,'Drugs','Empathogens','Ecstasy','50 X PHILLIP PLEIN 300MG'
'/insidethewhaie',0.009621,'Drugs','Stimulants','Amphetamine','20g - HQ BASE SPEED - STRONG AND FANTASTIC VALUE!'
'/thegermanbudtender1',0.001988,'Drugs','Cannabis','Weed','1g OG Kush LemonLarry/ SuperLemonHaze/NebulaHaze/Amnesia/PowerKus'
'/qzfwrty',0.154073,'Drugs','Cannabis','Weed','120g  Blue Berry '
'/herbamedicus2',0.025532,'','Other products','Body building','custom pablo'
'/need4weed',0.031359,'Drugs','Cannabis','Weed','56g 2oz Quantum Kush Medical Grade 50% Escrow Avaliable '
'/appleinc',0.004906,'Drugs','Pharmacy','Benzos','25 x 10mg Roche Diazepam (Loose)'
'/idealpills',0.085592,'Drugs','Pharmacy','Benzos','725x Rivotril 2 MG Pills (Loose)'
'/stealthydrugs',0.077656,'Drugs','Cannabis','Hash','100 gr. High Quality Hash Maroc Polm AAA+'
'/lawnmowerman',0.021203,'Drugs','Cannabis','Weed','1 ounce of Crazy - Ship to USA'
'/legalizewid',0.130372,'Drugs','Cannabis','Concentrates','128 Grams Platinum GSC Shatter-Medical Grade++(BHO) '
'/pachoherrera',0.096195,'Drugs','Empathogens','Ecstasy','500 X ORANGE DIAMONDS'
'/eztkapdel',0.003612,'Drugs','Pharmacy','Benzos','25 x 1mg Etizolam Pills Best Quality!'
'/happy-drugs',0.008778,'Drugs','Opiates','Heroin','1 gr AAA+ High Quality Afghan Heroin!'
'/dope-mail-service',0.047054,'Drugs','Opiates','Heroin','7 gr. Afghan Heroin high quality! '
'/houseofdrugs',0.003334,'Drugs','Psychedelics','LSD','3 LSD Blotters 170~180μg'
